Problem Algorithm Time
3 B 136.607528841549
3 B 113.136359505632
3 B 118.399536638437
3 B 132.149691816784
3 B 119.042631236952
3 B 135.861670759817
3 B 131.453301751532
3 B 138.085877132043
3 B 155.00227480591
3 B 161.239483008462
3 B 191.441897986202
3 B 141.36411526447
3 B 134.135922503799
3 B 185.502163888735
3 B 192.190776071043
3 B 144.572995743316
3 B 133.797156851506
3 B 91.0959180298579
3 B 183.789522097408
3 B 119.322636889797
3 B 111.118799894001
3 B 230.587955401398
3 B 150.070610836519
3 B 142.379919843419
4 A 74.8367557424585
4 A 161.706910581417
4 A 197.209047252439
4 A 178.657674209886
4 A 195.106631333134
4 A 230.463162622585
4 A 203.58058096245
4 A 148.211678491298
4 A 188.237945889362
4 A 158.452262963871
4 A 147.2436639668
4 A 70.7599643843653
4 A 138.941653875296
4 A 181.097882960402
4 A 236.545073804138
4 A 181.522922271266
4 A 185.466936721022
4 A 133.125194065592
4 A 170.367605367903
4 A 96.4181611177166
4 A 181.012485078785
4 A 187.993369692642
4 A 171.121959214241
4 A 188.124206012967
4 A 175.285473945825
4 A 190.095257944939
4 A 225.801299664853
4 A 201.707973761666
4 A 166.077910597548
4 A 128.223184161687
4 B 200.468139428248
4 B 170.191296218303
4 B 240.259244796847
4 B 125.53800522556
4 B 169.617183829144
4 B 200.614309809045
4 B 179.385748148206
4 B 162.572408735224
4 B 173.725320448232
4 B 208.292835695725
4 B 218.121363270195
4 B 209.427867377355
4 B 269.118890256557
4 B 228.419410187398
4 B 195.64525994761
4 B 160.588506528612
4 B 293.008184836552
4 B 210.064373516218
4 B 159.680147266968
4 B 191.900207073996
4 B 172.997447882105
4 B 174.835943925645
4 B 150.460376398175
4 B 189.323277764485
4 B 196.80892882998
4 B 145.130941457901
4 B 65.3733710818439
4 B 175.569637851782
4 B 186.092159721895
4 B 206.988129642089
5 A 209.110920284724
5 A 223.753820982465
5 A 161.292083451089
5 A 236.061910633845
5 A 236.380734167305
5 A 217.068244186531
5 A 262.76734336094
5 A 223.384696812849
5 A 217.593723153301
5 A 217.745814704606
5 A 224.726463850965
5 A 250.485121426811
5 A 225.35720305652
5 A 234.078876115065
5 A 159.696559768379
5 A 191.352769293526
5 A 267.714743044755
5 A 156.078644978765
5 A 217.333493345706
5 A 223.406782624585
5 A 246.999870634791
5 A 192.246428223017
5 A 213.223184832305
5 A 133.785457249632
5 A 220.661969946796
5 A 179.11531211155
5 A 196.802606194457
5 A 157.572368325103
5 A 222.577326633101
5 A 234.218619980385
5 B 212.857503677916
5 B 309.400501571912
5 B 257.065358132397
5 B 269.6713433209
5 B 319.572936075748
5 B 197.149516381232
5 B 263.324073702365
5 B 271.391654499273
5 B 226.386923910555
5 B 241.13037355958
5 B 180.797407075703
5 B 247.980928830263
5 B 194.889344966148
5 B 263.553623101201
5 B 189.881804458994
5 B 241.146019415176
5 B 188.290973056582
5 B 215.525402546164
5 B 156.270391496552
5 B 232.489009492634
5 B 271.340100319687
5 B 234.973887712379
5 B 146.597608991153
5 B 198.535805753411
5 B 301.740617677276
5 B 308.711177479802
5 B 173.39833318345
5 B 210.042785599814
5 B 242.697687018037
5 B 241.135082012678
6 A 219.528802878703
6 A 200.987157803304
6 A 239.421713515034
6 A 298.487141342234
6 A 249.506788541097
6 A 216.098265094
6 A 223.282746971607
6 A 328.514777607765
6 A 226.134329374302
6 A 286.237779135295
6 A 321.428694747228
6 A 270.368690216475
6 A 227.387813786514
6 A 246.346585898432
6 A 223.883428244682
6 A 309.309950159867
6 A 240.905506259528
6 A 325.315841404462
6 A 220.439910742728
6 A 216.193176551926
6 A 255.442230566171
6 A 249.534702850222
6 A 223.278907612483
6 A 169.790625106793
6 A 249.826632255686
6 A 212.743357279488
6 A 302.103010788647
6 A 201.016622404682
6 A 304.281975540788
6 A 216.097530136837
6 B 284.029227541161
6 B 316.56371287628
6 B 240.494160185503
6 B 298.088202309188
6 B 263.612079646458
6 B 207.41023945513
6 B 253.839060876339
6 B 355.262056761042
6 B 256.841627011614
6 B 224.445674489694
6 B 265.434103074287
6 B 286.050933062372
6 B 319.602420986614
6 B 329.725846774861
6 B 273.728035379462
6 B 330.83220485028
6 B 227.318049468112
6 B 142.511113948287
6 B 243.019656163248
6 B 240.64908872977
6 B 144.039393202696
6 B 298.519317624032
6 B 226.270734184332
6 B 256.201769405755
6 B 183.158806329233
6 B 297.717132166933
6 B 369.829183264744
6 B 221.20986175131
6 B 262.29267177393
6 B 372.914267820378
7 A 344.161347268048
7 A 400.957446458429
7 A 289.696424639948
7 A 281.168917162545
7 A 260.441363883611
7 A 373.205274798715
7 A 215.421365124687
7 A 307.824224484791
7 A 287.313525069912
7 A 420.606824407359
7 A 254.734043740637
7 A 202.46128614864
7 A 303.492642631497
7 A 287.700375629037
7 A 241.33074608469
7 A 297.672883118161
7 A 274.019564691056
7 A 250.631998806454
7 A 319.048484042998
7 A 270.763585903606
7 A 183.571145455193
7 A 136.199007594384
7 A 256.326234019104
7 A 374.342838510529
7 A 338.611504037952
7 A 360.473107665876
7 A 346.985315678502
7 A 308.314313393069
7 A 202.590367592453
7 A 301.923047655644
7 B 409.028141601316
7 B 99.4440608563895
7 B 261.556158373271
7 B 378.352807726618
7 B 342.782191205608
7 B 358.942453017921
7 B 338.340169363077
7 B 343.407653170804
7 B 310.907873589488
7 B 253.177673586408
7 B 233.937464372405
7 B 312.241477824074
7 B 283.873626958574
7 B 254.2394066753
7 B 335.881361684167
7 B 319.513573685569
7 B 400.723548801981
7 B 240.466845165816
7 B 277.897138850589
7 B 305.353280523012
7 B 222.717014950777
7 B 292.34823617715
7 B 266.093386950771
7 B 176.846381929474
7 B 292.402096042096
7 B 276.887525833483
7 B 380.24663203756
7 B 272.547726783445
7 B 344.565718926733
7 B 318.843016181815
